Community plan,Summary,Council person,Staff recommendation,School district representative,Proposed zoning type id,Community character policy id,Existing zoning type id,Map id,Pdf link,Request type,School district,ID,Date,Requested by,Community character policy,Parcel id,Document number,Applicant,Council district,Staff recommendation description,Project name,Number of acres,Number of units proposed,Number of units currently,Location description,Addresses
Antioch – Priest Lake Community Plan,Request for final plat approval to create six lots on properties zoned IR and AR2a within 118.19 acres.,Lee,Conditional,Hunter,"[""IR"",""AR2a""]","[""D IN"",""CO""]","[""IR"",""AR2a""]","[""175""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180524sr.pdf_item_6.pdf,final plat,6,DRG Interchange Center_2018-05-24,2018-05-24,Barge Design Solutions,"Industrial, Conservation","[""225"",""226"",""227"",""228"",""239"",""230""]",750,"Barge Design Solutions, applicant; CH Realty VII-DRG Nashville Interchange Center, LLC, and CH Realty VII-DRG Nashville Interchange Center PH 1, LLC owners",33,"Defer to the June 14, 2018, Metro Planning Commission meeting unless a recommendation of approval is received from all reviewing agencies. If a recommendation of approval is received from all reviewing agencies, staff recommends approval with conditions.",DRG Interchange Center,118.19,,,"Corner of Old Hickory Blvd and Logistics Way, 118.19 acres","[""12575 Old Hickory Blvd"",""3818 Logistics Way""]"
Bordeaux-Whites Creek-Haynes Trinity Community Plan,The proposed RM9 zoning district is consistent with the intent of the policy to increase housing diversity and provide for a moderate density development pattern with moderate setbacks. The staff recommends approval.,Hall,Approve,Gentry,"[""RM9""]","[""T3 NE"",""CO""]","[""RS15""]",,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200227sr.pdf_item_24.pdf,zone change,1,Zone Change 2020Z-038PR-001_2020-02-27,2020-02-27,"Smith Gee Studio, applicant; Guernier Development LLC, owner.","T3 Suburban Neighborhood Evolving (T3 NE), Conservation (CO)",,1727,Smith Gee Studio,1,Staff recommends approval.,Zone Change 2020Z-038PR-001,3.74,33,9,"northwest corner of Ashland City Highway and Cato Road, 3.74 acres","[""Ashland City Highway"",""Cato Road""]"
NashvilleNext and Parkwood-Union Hill Community Plan,"The proposal expands the Urban Services District to include areas around Briley Parkway and Dickerson Pike with additional police and fire protection, street lighting, and other public services.",Gamble,Conditional,Gentry,,"[""T3 CC"",""T3 CM"",""T3 NE"",""T3 NM"",""OS"",""CO""]",,,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/201112sr.pdf_item_20.pdf,zone change,1,Proposed USD Expansion of Services_2020-11-12,2020-11-12,Councilmember Jennifer Gamble,"suburban community center, suburban mixed use corridor, suburban neighborhood evolving, suburban neighborhood maintenance, parkland and conservation areas","[""050160A05300CO"",""05015004100""]",2169,"Councilmember Jennifer Gamble, applicant.",3,"Staff recommends approval of the proposed expansion of Urban Services District, as it is consistent with the zoning and land use policies in these areas, and it will generate sufficient funds to pay for the services provided. Additionally, staff recommends including two additional properties not currently in the Councilmember’s proposal.",Proposed USD Expansion of Services,809.38,1642,,northwest corner of the intersection of Briley Parkway and Dickerson Pike,"[""Briley Parkway"",""Dickerson Pike""]"
East Nashville Community Plan,The application requests to change the East Nashville Community Plan policy for various locations along North 6th Street to support T4 Urban Neighborhood Center policy. Staff recommends disapproval.,Davis,Disapprove,Buggs,"[""T4 NC""]","[""T4 NM"",""T4 NE"",""T4 NC""]","[""T4 NM"",""T4 NE""]","[""2019Z-004PR-001""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190523sr.pdf_item_0.pdf,major plan amendment,5,East Nashville Community Plan Amendment_2019-05-23,2019-05-23,"Cleveland Park Development, LLC",T4 Urban Neighborhood Maintenance (T4 NM) and T4 Urban Neighborhood Evolving (T4 NE) to T4 Urban Neighborhood Center (T4 NC),"[""Various""]",1357,"Cleveland Park Development, LLC, applicant; various owners",5,Staff recommends disapproval.,East Nashville Community Plan Amendment,1.75,,,"Various addresses along North 6th Street, at the northeastern corner of Cleveland Street and North 6th Street (1.75 acres)","[""North 6th Street""]"
Madison Community Plan,"The application proposes transitioning existing properties from R10 to RM9-A, increasing potential housing density and changing community character.",VanReece,Approve,Speering,"[""RM9-A""]","[""T4 NE""]","[""R10""]","[""081-12""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/191024sr.pdf_item_11.pdf,zone change,3,Zone Change 2019Z-149PR-001_2019-10-24,2019-10-24,S+H Group LLC,Urban Neighborhood Evolving (T4 NE),"[""203""]",1588,"S+H Group LLC, applicant; The George Nicholas Spiva Trust, owners",8,Staff recommends approval.,Zone Change 2019Z-149PR-001,9,81,41,"Properties located at 428 Williams Avenue and Nesbitt Lane (unnumbered), at the northern terminus of Walker Terrace (9.0 acres).","[""428 Williams Avenue"",""Nesbitt Lane"",""Walker Terrace""]"
Green Hills-Midtown Community Plan,The proposal is to shift a rear lot line for properties located at 1480 Georgetown Court and 4604 Mountainview Drive.,Henderson,Conditional,Pierce,"[""R40""]","[""T3 NM""]","[""R40""]","[""2018S-084-001""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180628sr.pdf_item_17.pdf,final plat,8,McKanna Subdivision Lot 1 and Seven Hills Section 8 Lot 327_2018-06-28,2018-06-28,"Dale and Associates, applicant; James McKanna, owner",T3 Suburban Neighborhood Maintenance (T3 NM),"[""084""]",779,"Dale and Associates, applicant; James McKanna, owner",25,Staff recommends approval with conditions.,McKanna Subdivision Lot 1 and Seven Hills Section 8 Lot 327,6.49,8,2,"1480 Georgetown Court and 4604 Mountainview Drive, approximately 335 feet southwest of Hildreth Drive, zoned One and Two-Family Residential (R40) (6.49 acres)","[""1480 Georgetown Court"",""4604 Mountainview Drive""]"
Madison Community Plan,"The application proposes rezoning from R10 to MUL to allow a mixture of residential, retail, restaurant, and office uses.",Young,Approve,Speering,"[""MUL""]","[""T5 MU""]","[""R10""]","[""070-16""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/191010sr.pdf_item_18.pdf,zone change,3,Zone Change 2019Z-150PR-001_2019-10-10,2019-10-10,"Ragan-Smith, applicant; Peachtree Corners, owner",T5 Center Mixed Use Neighborhood (T5 MU),"[""033""]",1575,Ragan-Smith,10,Staff recommends approval.,Zone Change 2019Z-150PR-001,1.46,33,6,"125 Liberty Lane, approximately 650 feet northwest of Gallatin Pike and south of I-65","[""125 Liberty Lane""]"
East Nashville Community Plan; Highland Heights Study Supplemental Policy,Request to rezone from RS5 to R6 for property located at 327 Gatewood Avenue. Staff recommends disapproval.,Davis,Disapprove,Buggs,"[""R6""]","[""T4 NM""]","[""RS5""]","[""092-02"",""092-03""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190110sr.pdf_item_35.pdf,zone change,5,None_2019-01-10,2019-01-10,"Jeff Kendig, applicant; Les Lazarus and Mary Frizzell, owners",T4 Neighborhood Maintenance (T4 NM) intended to preserve the general character of existing urban residential neighborhoods,"[""441"",""157""]",1077,"Jeff Kendig, Les Lazarus, Mary Frizzell",5,Disapprove,,0.18,2,1,"approx. 0.18 acres at 327 Gatewood Avenue, approx. 436 feet west of Lischey Avenue","[""327 Gatewood Avenue""]"
,Zone change to permit two dwelling units.,Blalock,Defer,Brannon,"[""SP-R""]",,"[""RS10""]","[""160"",""171""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180510sr.pdf_item_17.pdf,preliminary sp,2,291 Tusculum Road SP_2018-05-10,2018-05-10,Dale and Associates,,"[""183"",""229"",""138"",""160""]",717,"Dale and Associates, applicant; Flavio Martinez and Rosalia Ramirez, owners",27,"Staff recommends deferral to the May 24, 2018, Planning Commission meeting at the request of the applicant",291 Tusculum Road SP,1.28,2,,"150 feet southwest of Maple Top Drive, 1.28 acres","[""291 Tusculum Road""]"
,Rezoning request from MUL-A to SP to permit all uses of MUL-A plus Kennel.,Parker,Defer,Buggs,"[""SP""]",,"[""MUL-A""]","[""091-09""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220623sr.pdf_item_4.pdf,preliminary sp,5,2635 Gallatin Ave Dog Daycare_2022-06-23,2022-06-23,Paws Up Capital,Gallatin Pike Urban Design Overlay,"[""189""]",2713,"Paws Up Capital, applicant; McQuest Properties, LLC, owner",5,"Staff recommends deferral to the July 28, 2022, Planning Commission meeting at the request of the meeting.",2635 Gallatin Ave Dog Daycare,0.13,,,"Corner of Carolyn Avenue and Gallatin Pike, within the Gallatin Pike Urban Design Overlay, 0.13 acres","[""2635 Gallatin Avenue""]"
,Request for final plat approval to create 3 lots.,Gregg,Defer,Nabaa Mc Kinney,"[""RS20""]",,"[""RS20""]","[""007""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/052324StaffReport.pdf_item_10.pdf,final plat,4,Batson Selma_2024-05-23,2024-05-23,Clint Elliott Survey,,"[""189""]",139,Clint Elliott Survey,15,"Staff recommends deferral to the June 27, 2024, Planning Commission meeting.",Batson Selma,4.18,3,0,"Located at 84 Fairway Drive, at the southwest corner of Fairway Drive and Selma Ave.","[""84 Fairway Drive"",""Fairway Drive"",""Selma Ave""]"
Madison Community Plan,Request to apply Historic Landmark Overlay District to 435 Old Hickory Boulevard.,VanReece,Approve,Masters,"[""HL""]","[""T3 RC""]","[""RS20""]","[""071-15""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-211028sr.pdf_item_28.pdf,landmark overlay,3,435 Old Hickory Boulevard Historic Landmark Overlay_2021-10-28,2021-10-28,Councilmember Nancy VanReece,T3 Suburban Residential Corridor (T3 RC),"[""110""]",2341,"Councilmember Nancy VanReece, applicant; Brandon Thornberry, owner.",8,Staff recommends approval of the Historic Landmark Overlay District.,435 Old Hickory Boulevard Historic Landmark Overlay,1.44,2,2,"southeast corner of Donna Drive and Old Hickory Boulevard, 1.44 acres","[""435 Old Hickory Boulevard"",""Donna Drive""]"
,"A request to amend a Neighborhood Landmark Overlay District to add additional parking, a special events center and increase the maximum bed and breakfast units to 17.",Syracuse,Defer,Shepherd,"[""NHL""]",,"[""RS20"",""R8""]","[""164""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200611sr.pdf_item_10.pdf,SP Amendment,4,Belair Mansion (Amendment)_2020-06-11,2020-06-11,S+H Group,,"[""112""]",1918,"S+H Group, applicant; Lewis and Connie James, owner.",15,"Staff recommends deferral to the June 25, 2020, Planning Commission meeting at the request of the applicant.",Belair Mansion (Amendment),5.92,0,0,"2250 Lebanon Pike, at the corner of the Briley Parkway Ramp and Lebanon Pike, zoned Single-Family Residential (RS20) and One and Two-Family Residential (R8) and partially within the Downtown Donelson Urban Design Overlay District within a Neighborhood Landmark Overlay District and partially within a Historic Landmark District Overlay (5.92 acres)","[""2250 Lebanon Pike""]"
Madison Community Plan,The application proposes a change from R10 to RM9-A zoning for increased housing diversity and density in the Urban Services District. Staff recommends approval.,VanReece,Approve,Speering,"[""RM9-A""]","[""T4 NE""]","[""R10""]","[""081-12""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/191024sr.pdf_item_11.pdf,zone change,3,2019Z-149PR-001_2019-10-24,2019-10-24,S+H Group LLC,Urban Neighborhood Evolving,"[""203""]",1588,"S+H Group LLC, applicant; The George Nicholas Spiva Trust, owners",8,Staff recommends approval.,2019Z-149PR-001,9,81,41,"north side of Williams Avenue, just northwest of the intersection of Williams Avenue and Walker Terrace","[""428 Williams Avenue"",""Nesbitt Lane""]"
North Nashville Community Plan,Zone change from Industrial Warehousing/Distribution (IWD) to Mixed Use General-No STRP (MUG-NS) for property located at 540 Mainstream Drive (3.66 acres).,Toombs,Approve,Buggs,"[""MUG-NS""]","[""D EC""]","[""IWD""]","[""070-11""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/052523StaffReport.pdf_item_35.pdf,zone change,5,Zone Change 2023Z-060PR-001_2023-05-25,2023-05-25,"Holland & Knight LLP, applicant; 501 Great Circle Propco, LLC, owner",D Employment Center,"[""007""]",189,"Holland & Knight LLP, applicant; 501 Great Circle Propco, LLC, owner",2,Staff recommends approval.,Zone Change 2023Z-060PR-001,3.66,240,0,"540 Mainstream Drive, approximately 660 feet west of Great Circle Road (3.66 acres)","[""540 Mainstream Drive""]"
Antioch-Priest Lake Community Plan and Donelson-Hermitage-Old Hickory Community Plan,Request to amend the Antioch-Priest Lake and Donelson-Hermitage-Old Hickory Community Plans by changing district policies for the Couchville Pike Study Area.,Bradford,Defer,Player,"[""T3 NE"",""T3 IN"",""T3 NC"",""T3 CM""]","[""D EC"",""D I"",""T3 NE"",""T3 IN"",""T3 NC"",""T3 CM""]","[""D EC"",""D I""]",,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/072723StaffReport.pdf_item_8.pdf,major plan amendment,7,Antioch-Priest Lake/Donelson-Hermitage-Old Hickory Community Plan Amendment_2023-07-27,2023-07-27,Metro Planning Department,"Amend Community Plans to change Community Character Policy for the Couchville Pike Study Area, changing District Employment Center (D EC) and District Impact (D I) to various other policies",,357,"Metro Planning Department, applicant; various owners",13,"Staff recommends deferral to the September 14, 2023, Planning Commission meeting.",Antioch-Priest Lake/Donelson-Hermitage-Old Hickory Community Plan Amendment,1405.9,,,"Couchville Pike Study Area, approximately 1,405.9 acres",
Not specified,"Request to rezone from RS5 to R6 at 1208 Katie Street, deferred to June 13, 2019.",Hastings,Defer,Buggs,"[""R6""]",,"[""RS5""]","[""161""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190509sr.pdf_item_45.pdf,zone change,5,Zone Change 2019Z-065PR-001_2019-05-09,2019-05-09,Brian & Linda Vance,Not specified,"[""095""]",1342,"Brian & Linda Vance, applicant/owner",2,"Staff recommends deferral to the June 13, 2019, Planning Commission meeting.",Zone Change 2019Z-065PR-001,0.17,,,"1208 Katie Street, approximately 220 feet north of Fern Avenue, (0.17 acres)","[""1208 Katie Street""]"
Madison Community Plan,"Application to apply the CDO will assist in improving the appearance of Gallatin Pike. The CDO focuses on landscaping, signage, and building materials to enhance the corridor.","Benedict, VanReece, Hancock",Approve,Masters,"[""CDO""]","[""CDO""]","[""CS"",""CL"",""IWD"",""OR20""]",,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/201022sr.pdf_item_20.pdf,corridor design overlay,3,Gallatin Pike Corridor Design Overlay_2020-10-22,2020-10-22,Metro Planning Department,NashvilleNext,,2143,"Metro Planning Department, applicant; various owners",7,Staff recommends approval of the proposed CDO as it is consistent with the goals of the land use policies.,Gallatin Pike Corridor Design Overlay,327,,,"Various properties along Gallatin Pike, from Briley Parkway to Anderson Lane, 327 acres","[""Gallatin Pike"",""Briley Parkway"",""Anderson Lane""]"
,A request to rezone from Industrial Restrictive (IR) to Specific Plan (SP) to permit 303 multi-family units.,O'Connell,Defer,Gentry,"[""SP""]",,"[""IR""]","[""2022CP-008-001""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220512sr.pdf_item_1.pdf,preliminary sp,1,2nd and Van Buren SP_2022-05-12,2022-05-12,"Barge Design Solutions, applicant; Toll Southeast LP Company and Roy Glenn Goodwin, owners.",,"[""001""]",2637,Barge Design Solutions,19,"Staff recommends deferral to the May 26, 2022, Planning Commission meeting at the request of the applicant.",2nd and Van Buren SP,2.99,303,,"northwest corner of 1st Ave N and Van Buren Street, 2.99 acres","[""2nd Avenue North"",""1st Avenue North"",""100 Van Buren Street""]"
Music Row Vision Plan,The application seeks to modify the height standard of Music Row UDO to permit a maximum building height of 316 feet.,O’Connell,Conditional,Buggs,"[""UDO""]",,"[""CF""]","[""2001UD-002-011""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200528sr.pdf_item_29.pdf,udo modification,5,1601 Broadway_2020-05-28,2020-05-28,Smith Gee Studio,,"[""201"",""202"",""203""]",1906,"Smith Gee Studio, applicant; Caldwell, Wentworth, Jr. et al, owner",19,Staff recommends approval with conditions based upon the request to modify height standard.,1601 Broadway,0.77,0,0,"southwest corner of 16th Avenue South and Broadway, zoned Core Frame (CF) (0.77 acres)","[""1601 Broadway"",""1605 Broadway"",""1607 Broadway""]"
Green Hills - Midtown Community Plan,Amend the SP to permit Short Term Rental Property (STRP) - not owner occupied as a land use.,O’Connell,Conditional,Pupo Walker,"[""SP-MU""]","[""T5 MU""]","[""SP-MU""]","[""093-13"",""093-14""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/092321_Staff_Report.pdf_item_24.pdf,sp amendment,8,Kenect Nashville_2021-09-23,2021-09-23,"AP 1815 Division Nashville Property, LLC",T5 Center Mixed Use Neighborhood (T5 MU),"[""557"",""590""]",393,Nelson Mullins Riley & Scarborough LLP,19,Approve with conditions and disapprove without all conditions.,Kenect Nashville,1.2,420,420,"Southwest corner of Division Street and 19th Avenue South, 1.20 acres","[""808 19th Avenue South"",""812 19th Avenue South"",""1815 Division Street""]"
,A request to rezone from Agricultural/Residential (AR2A) to Commercial Limited-Alternative (CL-A) and Mixed Use Limited-Alternative (MUL-A) zoning.,Rutherford,Defer,Elrod,"[""CL-A"",""MUL-A""]",,"[""AR2a""]","[""086""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220609sr.pdf_item_9.pdf,zone change,2,2022Z-054PR-001_2022-06-09,2022-06-09,"Morelock Engineering, LLC, applicant; Zadik Holdings, LLC, owner",,"[""178""]",2692,"Morelock Engineering, LLC, applicant; Zadik Holdings, LLC, owner",31,Staff recommends an indefinite deferral at the request of the applicant.,2022Z-054PR-001,3.69,,,"6930 Nolensville Pike, approximately 290 feet south of Southpoint Parkway (3.69 acres)","[""6930 Nolensville Pike""]"
Joelton Community Plan,The request is to amend the Joelton Community Plan by changing policies on various properties totaling 222.43 acres.,Hall,Defer,Gentry,"[""T3""]","[""T2"",""T3""]","[""R40"",""R15"",""SCC"",""ON"",""RM4"",""AR2a""]","[""070-07""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190124sr.pdf_item_19.pdf,major plan amendment,1,Joelton Community Plan Amendment_2019-01-24,2019-01-24,"Joe Smith, Annette Winters, and Wayne Winters, applicant; various owners",Amend Joelton Community Plan to change the policy.,"[""013"",""017"",""034"",""034.01"",""034.04"",""039""]",1102,"Joe Smith, Annette Winters, and Wayne Winters, applicant; various owners",1,"Staff recommends deferral to the February 28, 2019, Planning Commission meeting at the request of the applicant.",Joelton Community Plan Amendment,222.43,,,"Properties located along Binkley Road, Eatons Creek Road, and Old Clarksville Pike, zoned Single-Family Residential (RS40), One and Two-Family Residential (R40, R15), Shopping Center Commercial (SCC), Office Neighborhood (ON), Multi-Family Residential (RM4) and Agricultural Residential (AR2a) (222.43 acres)","[""Binkley Road"",""Eatons Creek Road"",""Old Clarksville Pike""]"
31st Avenue and Long Boulevard UDO,The project involves a major modification to the UDO for a proposed 3-story townhome development with 19 multi-family units addressing significant topographic challenges.,Gadd,Conditional,Buggs,"[""T5 MU""]","[""T5 MU""]","[""RM40""]","[""097""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/031424StaffReport.pdf_item_15.pdf,UDO Major Modification,5,West End Circle Townhomes_2024-03-14,2024-03-14,Barge Civil Associates,T5 Center Mixed-Use Neighborhood,"[""104""]",70,"Barge Civil Associates, applicant, Mainland West End Circle, LLC, owner",24,Approve with conditions and disapprove without all conditions,West End Circle Townhomes,1.21,19,0,Southwest corner of Mason Ave. and West End Circle,"[""3207 West End Circle""]"
